year,investor,technology,requested_mw,accepted_mw,score_gbp_per_mw,expected_energy_margin_gbp_per_mw,commission_year,design,seed
2026,gas-a,gas,1250.0,1250.0,53199319.0908154,5782459.114420261,2028,energy_only,101
2026,peaker-a,peaker,1600.0,1600.0,72114340.16761075,9702704.736312428,2027,energy_only,101
2026,solar-a,solar,2000.0,2000.0,4139970.9537525065,449072.5852935717,2027,energy_only,101
2026,wind-a,wind,1250.0,1250.0,20378639.394106265,1922803.9334846355,2028,energy_only,101
2026,wind-b,wind,500.0,500.0,50531847.66896101,7916693.3715634905,2028,energy_only,101
2027,gas-a,gas,1250.0,1250.0,68508809.26712698,7412888.899088648,2029,energy_only,101
2027,peaker-a,peaker,1600.0,1600.0,76596011.36393104,10300904.073896186,2028,energy_only,101
2027,solar-a,solar,2000.0,2000.0,3738442.7218772136,411943.9804919357,2028,energy_only,101
2027,wind-a,wind,1250.0,1250.0,37242899.40825186,3379460.0365515035,2029,energy_only,101
2027,wind-b,wind,500.0,500.0,39384812.25204584,6228128.193104775,2029,energy_only,101
2028,gas-a,gas,1250.0,1250.0,42850821.017268665,4680364.969456446,2030,energy_only,101
2028,peaker-a,peaker,1600.0,1600.0,34279596.512916654,4652642.471487622,2029,energy_only,101
2028,solar-a,solar,2000.0,2000.0,2775124.790576965,322867.67668502184,2029,energy_only,101
2028,wind-a,wind,1250.0,1250.0,28778562.07942549,2648350.0668220483,2030,energy_only,101
2028,wind-b,wind,500.0,500.0,13175693.73679303,2257942.1097451444,2030,energy_only,101
2029,gas-a,gas,1250.0,1250.0,32126577.105380222,3538254.6515670684,2031,energy_only,101
2029,peaker-a,peaker,1600.0,1600.0,19317764.946412057,2655584.3786334605,2030,energy_only,101
2029,solar-a,solar,2000.0,2000.0,2212460.809810206,270839.13443175214,2030,energy_only,101
2029,wind-a,wind,1250.0,1250.0,23081895.947383847,2156298.6230342733,2031,energy_only,101
2029,wind-b,wind,500.0,500.0,5616003.363734707,1112791.901959363,2031,energy_only,101
2030,gas-a,gas,0.0,0.0,19854161.480635617,2231267.172952414,2032,energy_only,101
2030,peaker-a,peaker,1600.0,1600.0,7380483.905086996,1062233.7514533843,2031,energy_only,101
2030,solar-a,solar,2000.0,2000.0,2135467.6792010353,263719.71594036074,2031,energy_only,101
2030,wind-a,wind,0.0,0.0,16264743.907600593,1567464.8339468408,2032,energy_only,101
2030,wind-b,wind,0.0,0.0,2714202.2328707194,673223.8768184643,2032,energy_only,101
2031,gas-a,gas,0.0,0.0,12470055.206101125,1444874.7676856369,2033,energy_only,101
2031,peaker-a,peaker,0.0,0.0,2605571.488556972,424893.5005813537,2032,energy_only,101
2031,solar-a,solar,0.0,0.0,2166924.9214652157,266628.51144577574,2032,energy_only,101
2031,wind-a,wind,0.0,0.0,12418935.222135734,1235281.8215756472,2033,energy_only,101
2031,wind-b,wind,0.0,0.0,1307645.1327732382,460157.06112194125,2033,energy_only,101
2026,gas-a,gas,1250.0,1250.0,53866492.60260219,5782459.114420261,2028,stylised_capacity_payment,101
2026,peaker-a,peaker,1600.0,1600.0,72689005.71869446,9702704.736312428,2027,stylised_capacity_payment,101
2026,solar-a,solar,2000.0,2000.0,4209892.452822029,449072.5852935717,2027,stylised_capacity_payment,101
2026,wind-a,wind,1250.0,1250.0,20514311.80616336,1922803.9334846355,2028,stylised_capacity_payment,101
2026,wind-b,wind,500.0,500.0,50624681.03278381,7916693.3715634905,2028,stylised_capacity_payment,101
2027,gas-a,gas,1250.0,1250.0,69175982.77891377,7412888.899088648,2029,stylised_capacity_payment,101
2027,peaker-a,peaker,1600.0,1600.0,77170676.91501474,10300904.073896186,2028,stylised_capacity_payment,101
2027,solar-a,solar,2000.0,2000.0,3808364.2209467366,411943.9804919357,2028,stylised_capacity_payment,101
2027,wind-a,wind,1250.0,1250.0,37378571.82030895,3379460.0365515035,2029,stylised_capacity_payment,101
2027,wind-b,wind,500.0,500.0,39477645.61586864,6228128.193104775,2029,stylised_capacity_payment,101
2028,gas-a,gas,1250.0,1250.0,43517994.529055454,4680364.969456446,2030,stylised_capacity_payment,101
2028,peaker-a,peaker,1600.0,1600.0,34854262.06400035,4652642.471487622,2029,stylised_capacity_payment,101
2028,solar-a,solar,2000.0,2000.0,2845046.2896464877,322867.67668502184,2029,stylised_capacity_payment,101
2028,wind-a,wind,1250.0,1250.0,28914234.491482586,2648350.0668220483,2030,stylised_capacity_payment,101
2028,wind-b,wind,500.0,500.0,13268527.10061583,2257942.1097451444,2030,stylised_capacity_payment,101
2029,gas-a,gas,1250.0,1250.0,32793750.617167003,3538254.6515670684,2031,stylised_capacity_payment,101
2029,peaker-a,peaker,1600.0,1600.0,19892430.49749576,2655584.3786334605,2030,stylised_capacity_payment,101
2029,solar-a,solar,2000.0,2000.0,2282382.3088797284,270839.13443175214,2030,stylised_capacity_payment,101
2029,wind-a,wind,1250.0,1250.0,23217568.35944094,2156298.6230342733,2031,stylised_capacity_payment,101
2029,wind-b,wind,500.0,500.0,5708836.727557507,1112791.901959363,2031,stylised_capacity_payment,101
2030,gas-a,gas,0.0,0.0,20521334.992422402,2231267.172952414,2032,stylised_capacity_payment,101
2030,peaker-a,peaker,1600.0,1600.0,7955149.456170699,1062233.7514533843,2031,stylised_capacity_payment,101
2030,solar-a,solar,2000.0,2000.0,2205389.1782705574,263719.71594036074,2031,stylised_capacity_payment,101
2030,wind-a,wind,0.0,0.0,16400416.319657687,1567464.8339468408,2032,stylised_capacity_payment,101
2030,wind-b,wind,0.0,0.0,2807035.5966935195,673223.8768184643,2032,stylised_capacity_payment,101
2031,gas-a,gas,0.0,0.0,13137228.71788791,1444874.7676856369,2033,stylised_capacity_payment,101
2031,peaker-a,peaker,0.0,0.0,3180237.0396406744,424893.5005813537,2032,stylised_capacity_payment,101
2031,solar-a,solar,0.0,0.0,2236846.420534738,266628.51144577574,2032,stylised_capacity_payment,101
2031,wind-a,wind,0.0,0.0,12554607.634192828,1235281.8215756472,2033,stylised_capacity_payment,101
2031,wind-b,wind,0.0,0.0,1400478.4965960383,460157.06112194125,2033,stylised_capacity_payment,101
2026,gas-a,gas,1250.0,1250.0,70690799.93994051,7645266.498986028,2028,energy_only,102
2026,peaker-a,peaker,1600.0,1600.0,64412473.490419075,8674683.861367986,2027,energy_only,102
2026,solar-a,solar,2000.0,2000.0,5770348.828361842,599830.7412045164,2027,energy_only,102
2026,wind-a,wind,1250.0,1250.0,23070618.963227518,2155324.5697534457,2028,energy_only,102
2026,wind-b,wind,500.0,500.0,43374206.91424642,6832446.081921997,2028,energy_only,102
2027,gas-a,gas,1250.0,1250.0,68782938.36718473,7442083.094612549,2029,energy_only,102
2027,peaker-a,peaker,1600.0,1600.0,71675374.5470843,9644112.989636196,2028,energy_only,102
2027,solar-a,solar,2000.0,2000.0,5275533.504342437,554076.0441325159,2028,energy_only,102
2027,wind-a,wind,1250.0,1250.0,32397418.45635374,2960929.9975841073,2029,energy_only,102
2027,wind-b,wind,500.0,500.0,31428179.416359942,5022848.704736689,2029,energy_only,102
2028,gas-a,gas,1250.0,1250.0,43606038.77904728,4760794.135844998,2030,energy_only,102
2028,peaker-a,peaker,1600.0,1600.0,31046180.40471961,4221056.2864849735,2029,energy_only,102
2028,solar-a,solar,2000.0,2000.0,3243738.5653549014,366199.5628815986,2029,energy_only,102
2028,wind-a,wind,1250.0,1250.0,23836677.064029112,2221493.0946042524,2030,energy_only,102
2028,wind-b,wind,500.0,500.0,9872498.135332627,1757570.4089609017,2030,energy_only,102
2029,gas-a,gas,1250.0,1250.0,31203276.01142783,3439924.9497637935,2031,energy_only,102
2029,peaker-a,peaker,1600.0,1600.0,16904331.026233643,2333446.8301363117,2030,energy_only,102
2029,solar-a,solar,2000.0,2000.0,2858119.9231779636,330542.08967563545,2030,energy_only,102
2029,wind-a,wind,1250.0,1250.0,17663784.99246728,1688307.4759010663,2031,energy_only,102
2029,wind-b,wind,500.0,500.0,3684815.9156028014,820253.5044367581,2031,energy_only,102
2030,gas-a,gas,0.0,0.0,19652852.969738748,2209828.2231053873,2032,energy_only,102
2030,peaker-a,peaker,1600.0,1600.0,6415110.337015631,933378.7320545247,2031,energy_only,102
2030,solar-a,solar,2000.0,2000.0,1969594.2632325208,248381.69480090291,2031,energy_only,102
2030,wind-a,wind,0.0,0.0,13270769.640902331,1308859.30459939,2032,energy_only,102
2030,wind-b,wind,0.0,0.0,1736128.770696953,525064.2336100973,2032,energy_only,102
2031,gas-a,gas,0.0,0.0,11545133.151604753,1346372.4368581267,2033,energy_only,102
2031,peaker-a,peaker,0.0,0.0,2219422.061328425,373351.4928218099,2032,energy_only,102
2031,solar-a,solar,0.0,0.0,1794604.8234297805,232200.73107501105,2032,energy_only,102
2031,wind-a,wind,0.0,0.0,9653699.059821371,996433.6225513336,2033,energy_only,102
2031,wind-b,wind,0.0,0.0,1211969.6701874123,445664.03687710897,2033,energy_only,102
2026,gas-a,gas,1250.0,1250.0,71357973.4517273,7645266.498986028,2028,stylised_capacity_payment,102
2026,peaker-a,peaker,1600.0,1600.0,64987139.041502774,8674683.861367986,2027,stylised_capacity_payment,102
2026,solar-a,solar,2000.0,2000.0,5840270.327431364,599830.7412045164,2027,stylised_capacity_payment,102
2026,wind-a,wind,1250.0,1250.0,23206291.375284612,2155324.5697534457,2028,stylised_capacity_payment,102
2026,wind-b,wind,500.0,500.0,43467040.27806922,6832446.081921997,2028,stylised_capacity_payment,102
2027,gas-a,gas,1250.0,1250.0,69450111.87897152,7442083.094612549,2029,stylised_capacity_payment,102
2027,peaker-a,peaker,1600.0,1600.0,72250040.098168,9644112.989636196,2028,stylised_capacity_payment,102
2027,solar-a,solar,2000.0,2000.0,5345455.003411959,554076.0441325159,2028,stylised_capacity_payment,102
2027,wind-a,wind,1250.0,1250.0,32533090.868410833,2960929.9975841073,2029,stylised_capacity_payment,102
2027,wind-b,wind,500.0,500.0,31521012.78018274,5022848.704736689,2029,stylised_capacity_payment,102
2028,gas-a,gas,1250.0,1250.0,44273212.29083407,4760794.135844998,2030,stylised_capacity_payment,102
2028,peaker-a,peaker,1600.0,1600.0,31620845.955803312,4221056.2864849735,2029,stylised_capacity_payment,102
2028,solar-a,solar,2000.0,2000.0,3313660.0644244235,366199.5628815986,2029,stylised_capacity_payment,102
2028,wind-a,wind,1250.0,1250.0,23972349.476086207,2221493.0946042524,2030,stylised_capacity_payment,102
2028,wind-b,wind,500.0,500.0,9965331.499155426,1757570.4089609017,2030,stylised_capacity_payment,102
2029,gas-a,gas,1250.0,1250.0,31870449.523214616,3439924.9497637935,2031,stylised_capacity_payment,102
2029,peaker-a,peaker,1600.0,1600.0,17478996.577317346,2333446.8301363117,2030,stylised_capacity_payment,102
2029,solar-a,solar,2000.0,2000.0,2928041.422247486,330542.08967563545,2030,stylised_capacity_payment,102
2029,wind-a,wind,1250.0,1250.0,17799457.404524375,1688307.4759010663,2031,stylised_capacity_payment,102
2029,wind-b,wind,500.0,500.0,3777649.2794256015,820253.5044367581,2031,stylised_capacity_payment,102
2030,gas-a,gas,0.0,0.0,20320026.481525537,2209828.2231053873,2032,stylised_capacity_payment,102
2030,peaker-a,peaker,1600.0,1600.0,6989775.888099333,933378.7320545247,2031,stylised_capacity_payment,102
2030,solar-a,solar,2000.0,2000.0,2039515.762302043,248381.69480090291,2031,stylised_capacity_payment,102
2030,wind-a,wind,0.0,0.0,13406442.052959425,1308859.30459939,2032,stylised_capacity_payment,102
2030,wind-b,wind,0.0,0.0,1828962.134519753,525064.2336100973,2032,stylised_capacity_payment,102
2031,gas-a,gas,0.0,0.0,12212306.663391538,1346372.4368581267,2033,stylised_capacity_payment,102
2031,peaker-a,peaker,0.0,0.0,2794087.6124121277,373351.4928218099,2032,stylised_capacity_payment,102
2031,solar-a,solar,0.0,0.0,1864526.3224993027,232200.73107501105,2032,stylised_capacity_payment,102
2031,wind-a,wind,0.0,0.0,9789371.471878465,996433.6225513336,2033,stylised_capacity_payment,102
2031,wind-b,wind,0.0,0.0,1304803.0340102124,445664.03687710897,2033,stylised_capacity_payment,102
2026,gas-a,gas,1250.0,1250.0,42343649.27207674,4626352.202879632,2028,energy_only,103
2026,peaker-a,peaker,1600.0,1600.0,70425608.86615844,9477298.207891699,2027,energy_only,103
2026,solar-a,solar,2000.0,2000.0,3394452.3751966176,380135.80207859725,2027,energy_only,103
2026,wind-a,wind,1250.0,1250.0,16134964.296563797,1556255.0766072469,2028,energy_only,103
2026,wind-b,wind,500.0,500.0,26287687.272012584,4244161.303966983,2028,energy_only,103
2027,gas-a,gas,1250.0,1250.0,76607562.71380292,8275389.7848841455,2029,energy_only,103
2027,peaker-a,peaker,1600.0,1600.0,68483732.46904868,9218102.67043809,2028,energy_only,103
2027,solar-a,solar,2000.0,2000.0,4028074.1782975113,438725.6885509878,2028,energy_only,103
